epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,2177.93,0.97774,1.35222,1.56575,0.82045,0,0.40191,0.38442,0.3471,0.25222,0.3907,0.37444,0.33065,0.16702,0.77601,1.06419,1.57564,0.80525,0,0.000538,0.000538,0.000538
30,2268.38,0.95092,1.31992,1.55652,0.82013,0,0.48798,0.3726,0.33682,0.24492,0.49087,0.35332,0.31881,0.16118,0.78386,1.09741,1.67616,0.80755,0,0.0005215,0.0005215,0.0005215
31,2342.17,0.94289,1.29543,1.57111,0.81995,0,0.52016,0.38973,0.34709,0.25163,0.50636,0.37683,0.3292,0.16578,0.78647,1.07155,1.585,0.806,0,0.000505,0.000505,0.000505
32,2420.5,0.95381,1.32364,1.58787,0.82114,0,0.44812,0.41209,0.35715,0.25816,0.43629,0.40325,0.33967,0.17734,0.76837,1.04988,1.54461,0.80447,0,0.0004885,0.0004885,0.0004885
33,2500.89,0.96236,1.32259,1.56757,0.81976,0,0.5891,0.37646,0.3472,0.25127,0.57347,0.36427,0.32736,0.1648,0.77165,1.04034,1.64247,0.80573,0,0.000472,0.000472,0.000472
34,2580.55,0.96629,1.33778,1.5568,0.82053,0,0.5792,0.38904,0.35456,0.25984,0.56386,0.37892,0.33762,0.1765,0.75745,1.0391,1.58844,0.80452,0,0.0004555,0.0004555,0.0004555
35,2681.49,0.96359,1.33073,1.53886,0.81942,0,0.51711,0.38683,0.35126,0.25568,0.5082,0.37526,0.3345,0.17002,0.78034,1.0497,1.59203,0.8055,0,0.000439,0.000439,0.000439
36,2761.03,0.94706,1.30907,1.52354,0.81819,0,0.51218,0.39531,0.35106,0.25458,0.5037,0.37982,0.3356,0.16785,0.77035,1.05836,1.56581,0.80441,0,0.0004225,0.0004225,0.0004225
37,2843.38,0.94346,1.30141,1.5203,0.8179,0,0.42597,0.39477,0.36563,0.2691,0.41678,0.38129,0.34849,0.18284,0.76397,1.02577,1.5059,0.80323,0,0.000406,0.000406,0.000406
38,2928.44,0.94942,1.30338,1.51646,0.81946,0,0.55909,0.39661,0.35431,0.25739,0.54012,0.387,0.33709,0.17249,0.78289,1.06281,1.57627,0.80582,0,0.0003895,0.0003895,0.0003895
39,3003.36,0.95969,1.32966,1.51443,0.81742,0,0.40432,0.41207,0.35973,0.26285,0.39326,0.39987,0.34237,0.17063,0.76335,1.05096,1.5274,0.8021,0,0.000373,0.000373,0.000373
40,3081.1,0.95452,1.30766,1.52432,0.81828,0,0.40561,0.41414,0.36131,0.26574,0.39435,0.40118,0.3427,0.17417,0.76717,1.02887,1.5275,0.80424,0,0.0003565,0.0003565,0.0003565
41,3154.98,0.92138,1.27656,1.49347,0.8168,0,0.47983,0.4128,0.35805,0.26173,0.46568,0.3988,0.33968,0.16862,0.77025,1.04992,1.5386,0.80344,0,0.00034,0.00034,0.00034
42,3229.14,0.92268,1.26839,1.48372,0.81633,0,0.38765,0.41384,0.36381,0.26508,0.37732,0.3995,0.34606,0.17055,0.7802,1.04349,1.5259,0.80467,0,0.0003235,0.0003235,0.0003235
43,3305.41,0.92707,1.27226,1.48115,0.81713,0,0.50196,0.4098,0.35884,0.26264,0.49375,0.39553,0.34001,0.17338,0.75636,1.03296,1.60056,0.80228,0,0.000307,0.000307,0.000307
