epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4708,1.8569,3.19903,3.30456,1.05671,0,0.48498,0.17363,0.10587,0.07381,0.48101,0.17011,0.1013,0.05216,1.1124,1.97892,2.55275,0.89856,0,0.000165033,0.000165033,0.000165033
2,110.839,1.33848,2.11202,2.08476,0.9079,0,0.42015,0.25707,0.18474,0.12272,0.41111,0.24536,0.16866,0.08102,1.05025,1.66786,2.03195,0.87437,0,0.000328416,0.000328416,0.000328416
3,163.64,1.26207,1.91197,1.93349,0.8876,0,0.3135,0.28935,0.21258,0.14046,0.30093,0.27568,0.19624,0.09166,1.03988,1.68429,1.89792,0.87446,0,0.000488498,0.000488498,0.000488498
4,217.318,1.24771,1.85059,1.89687,0.87901,0,0.32711,0.31434,0.23391,0.15701,0.31583,0.3005,0.21686,0.10422,0.94856,1.42423,1.8986,0.8521,0,0.00048515,0.00048515,0.00048515
