epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2139.71,0.99626,1.38892,1.57467,0.83018,0,0.44606,0.41265,0.34596,0.25926,0.43397,0.39893,0.32847,0.16436,0.78433,1.08359,1.58103,0.81213,0,0.00036635,0.00036635,0.00036635
29,2215.59,0.99864,1.39724,1.5578,0.82687,0,0.39427,0.38683,0.33646,0.25018,0.38112,0.37262,0.31701,0.15703,0.78051,1.07882,1.61808,0.81294,0,0.0003614,0.0003614,0.0003614
30,2292.17,0.97313,1.36276,1.55976,0.82684,0,0.43437,0.39092,0.33948,0.25245,0.42296,0.37818,0.31985,0.15939,0.77678,1.09103,1.5976,0.81089,0,0.00035645,0.00035645,0.00035645
31,2367.45,0.95711,1.33089,1.55221,0.82605,0,0.4523,0.3998,0.34781,0.25935,0.4477,0.38033,0.32879,0.1658,0.77246,1.07383,1.59609,0.81197,0,0.0003515,0.0003515,0.0003515
32,2442.99,0.97032,1.36518,1.56998,0.82727,0,0.42273,0.41613,0.34796,0.25841,0.41189,0.40286,0.33101,0.16331,0.78197,1.06775,1.54826,0.81151,0,0.00034655,0.00034655,0.00034655
33,2518.29,0.96649,1.35439,1.54262,0.82501,0,0.47969,0.40637,0.3373,0.25145,0.4723,0.3889,0.32099,0.1621,0.76543,1.07221,1.65313,0.80969,0,0.0003416,0.0003416,0.0003416
34,2593.46,0.98411,1.37744,1.54891,0.82653,0,0.55027,0.39864,0.3436,0.25593,0.54269,0.38525,0.32721,0.16627,0.76749,1.05242,1.62384,0.80874,0,0.00033665,0.00033665,0.00033665
35,2668.55,0.98404,1.37457,1.53663,0.82599,0,0.43291,0.41575,0.35794,0.26528,0.42612,0.39939,0.33888,0.16908,0.79105,1.08769,1.57134,0.81274,0,0.0003317,0.0003317,0.0003317
36,2742.64,0.95706,1.34911,1.52311,0.82353,0,0.45085,0.4061,0.34787,0.25573,0.46424,0.37629,0.32619,0.15856,0.78868,1.07763,1.61535,0.81197,0,0.00032675,0.00032675,0.00032675
37,2816.81,0.95669,1.34527,1.52085,0.82415,0,0.37701,0.4128,0.34825,0.25876,0.36443,0.39807,0.33016,0.16077,0.77666,1.07058,1.54247,0.81019,0,0.0003218,0.0003218,0.0003218
38,2891.13,0.96675,1.3467,1.51646,0.82537,0,0.49631,0.39081,0.34975,0.25848,0.55328,0.37625,0.33054,0.16976,0.77714,1.08958,1.62166,0.80883,0,0.00031685,0.00031685,0.00031685
39,2966.57,0.97871,1.36909,1.5168,0.82369,0,0.37303,0.43669,0.35887,0.26683,0.36198,0.42092,0.33876,0.16555,0.7801,1.07943,1.52458,0.80994,0,0.0003119,0.0003119,0.0003119
40,3041.85,0.9648,1.34284,1.51991,0.82357,0,0.40089,0.40879,0.36117,0.26906,0.39061,0.39666,0.34538,0.17044,0.78098,1.05183,1.54417,0.81054,0,0.00030695,0.00030695,0.00030695
41,3117.36,0.94201,1.3186,1.49539,0.82299,0,0.44737,0.41582,0.36166,0.26984,0.44026,0.40173,0.34332,0.16622,0.77328,1.07514,1.56913,0.80812,0,0.000302,0.000302,0.000302
42,3190.97,0.93911,1.30693,1.48245,0.822,0,0.40144,0.41579,0.36127,0.27022,0.39219,0.4009,0.34229,0.16736,0.76651,1.06263,1.52672,0.80782,0,0.00029705,0.00029705,0.00029705
43,3265.31,0.9422,1.31256,1.4807,0.82233,0,0.5222,0.39769,0.35378,0.26171,0.51188,0.38286,0.33333,0.16136,0.77845,1.059,1.63339,0.80811,0,0.0002921,0.0002921,0.0002921
44,3339.05,0.95339,1.32946,1.50344,0.82172,0,0.47157,0.40463,0.35999,0.26448,0.45712,0.3892,0.33896,0.16548,0.7731,1.05473,1.55758,0.80746,0,0.00028715,0.00028715,0.00028715
45,3412.15,0.93787,1.29812,1.48995,0.82147,0,0.43582,0.42301,0.35768,0.26556,0.4237,0.40997,0.34003,0.16732,0.76466,1.0406,1.52324,0.80862,0,0.0002822,0.0002822,0.0002822
46,3486.29,0.93618,1.29799,1.46513,0.82005,0,0.46166,0.41905,0.36755,0.27119,0.45596,0.40387,0.3492,0.17141,0.75565,1.05314,1.52553,0.80544,0,0.00027725,0.00027725,0.00027725
47,3560.71,0.94638,1.32532,1.46866,0.82005,0,0.46569,0.41485,0.36267,0.26837,0.4518,0.40502,0.34358,0.16821,0.75393,1.04986,1.52817,0.806,0,0.0002723,0.0002723,0.0002723
48,3635.13,0.92877,1.29537,1.45947,0.82038,0,0.38128,0.42986,0.36173,0.2685,0.36901,0.41567,0.34133,0.16735,0.76112,1.04885,1.52888,0.80607,0,0.00026735,0.00026735,0.00026735
49,3709.94,0.94446,1.30561,1.4653,0.82066,0,0.53048,0.40635,0.3541,0.26349,0.52311,0.39228,0.33749,0.16433,0.75375,1.05058,1.56022,0.80565,0,0.0002624,0.0002624,0.0002624
50,3784.69,0.9356,1.30005,1.46397,0.82018,0,0.39689,0.4174,0.36297,0.26668,0.38687,0.4036,0.34557,0.16559,0.77211,1.06785,1.56209,0.8082,0,0.00025745,0.00025745,0.00025745
