epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,20501.6,0.73791,1.03216,1.16613,0.87422,0,0.41372,0.46125,0.38402,0.28421,0.40318,0.44812,0.36777,0.1912,0.77028,1.02636,1.35998,0.79963,0,0.0005545,0.0005545,0.0005545
29,21244.5,0.73477,1.02833,1.1567,0.87331,0,0.4289,0.44975,0.3848,0.28307,0.41877,0.43898,0.3691,0.19099,0.76932,1.01994,1.35685,0.79942,0,0.000538,0.000538,0.000538
30,21982.5,0.73418,1.02656,1.1538,0.87191,0,0.42178,0.45329,0.38494,0.2852,0.41229,0.44167,0.369,0.1916,0.76633,1.01596,1.35331,0.79905,0,0.0005215,0.0005215,0.0005215
31,22726.6,0.73246,1.02422,1.14744,0.87166,0,0.43186,0.44677,0.38452,0.28537,0.42433,0.43514,0.36951,0.19199,0.76549,1.01204,1.34841,0.79892,0,0.000505,0.000505,0.000505
32,23473.6,0.7311,1.0215,1.13841,0.87202,0,0.42784,0.45324,0.38787,0.28756,0.41614,0.44444,0.37465,0.19431,0.76298,1.00808,1.34732,0.79871,0,0.0004885,0.0004885,0.0004885
33,24212.7,0.72837,1.01776,1.1291,0.87126,0,0.41768,0.45613,0.38975,0.28945,0.41002,0.44647,0.37672,0.19583,0.76074,1.01077,1.34534,0.79843,0,0.000472,0.000472,0.000472
34,24949.8,0.72805,1.01484,1.12678,0.8701,0,0.41375,0.46111,0.39079,0.29074,0.40822,0.45026,0.37701,0.19572,0.76156,1.00926,1.34341,0.79851,0,0.0004555,0.0004555,0.0004555
35,25686.5,0.72706,1.0162,1.11919,0.8696,0,0.42595,0.45561,0.39318,0.29124,0.41605,0.44342,0.37707,0.19734,0.76114,1.00869,1.3424,0.79843,0,0.000439,0.000439,0.000439
36,26423.8,0.72245,1.00885,1.11089,0.86766,0,0.41897,0.46061,0.39433,0.29127,0.40989,0.4479,0.37787,0.19807,0.75984,1.00704,1.34223,0.79838,0,0.0004225,0.0004225,0.0004225
37,27151.2,0.72349,1.01007,1.10414,0.86768,0,0.41994,0.46504,0.3947,0.29239,0.41099,0.45368,0.37953,0.19891,0.75924,1.00542,1.34002,0.79827,0,0.000406,0.000406,0.000406
38,27873.4,0.72035,1.00459,1.09947,0.8682,0,0.41924,0.46798,0.39541,0.29306,0.41064,0.45571,0.38084,0.19933,0.75905,1.0043,1.33959,0.79814,0,0.0003895,0.0003895,0.0003895
39,28599,0.71785,0.99965,1.08803,0.86713,0,0.41393,0.472,0.39621,0.2935,0.40444,0.45963,0.37977,0.19957,0.75838,1.00379,1.33834,0.79814,0,0.000373,0.000373,0.000373
40,29335.1,0.72024,1.00276,1.08668,0.86759,0,0.41874,0.46811,0.39562,0.29447,0.4098,0.45683,0.38096,0.19968,0.75804,1.00358,1.33747,0.79814,0,0.0003565,0.0003565,0.0003565
41,30081.7,0.71425,0.99413,1.07838,0.86639,0,0.41912,0.46863,0.3962,0.29523,0.41022,0.4574,0.38104,0.19983,0.75808,1.00333,1.33589,0.79804,0,0.00034,0.00034,0.00034
42,30823.6,0.7163,0.99798,1.07385,0.86606,0,0.42012,0.46544,0.39628,0.29548,0.41127,0.4543,0.38129,0.20015,0.7583,1.00301,1.33605,0.79807,0,0.0003235,0.0003235,0.0003235
43,31559.3,0.71162,0.99145,1.06444,0.86524,0,0.42303,0.46568,0.39684,0.29645,0.41432,0.45482,0.38197,0.20083,0.75813,1.0023,1.33472,0.79802,0,0.000307,0.000307,0.000307
44,32296.3,0.71217,0.99256,1.05679,0.86464,0,0.4244,0.46542,0.39701,0.29666,0.41556,0.45446,0.38195,0.20102,0.75835,1.00249,1.33413,0.79799,0,0.0002905,0.0002905,0.0002905
45,33042.2,0.71146,0.98964,1.05694,0.86432,0,0.42724,0.4654,0.39723,0.29732,0.41855,0.45465,0.38254,0.20164,0.75854,1.00235,1.33423,0.79793,0,0.000274,0.000274,0.000274
46,33780.4,0.70982,0.98729,1.05403,0.86366,0,0.42265,0.46739,0.39709,0.29765,0.41388,0.45655,0.38215,0.20168,0.75843,1.00238,1.33336,0.79792,0,0.0002575,0.0002575,0.0002575
47,34519.4,0.70908,0.98873,1.04692,0.86346,0,0.42488,0.46583,0.39721,0.29765,0.41607,0.45506,0.38229,0.20184,0.75846,1.00239,1.33251,0.79787,0,0.000241,0.000241,0.000241
48,35259.4,0.70419,0.98033,1.03271,0.86289,0,0.42374,0.46718,0.39747,0.29759,0.41477,0.45627,0.38245,0.20167,0.75786,1.00215,1.33213,0.79784,0,0.0002245,0.0002245,0.0002245
