epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,22149.3,0.76271,1.05822,1.20261,0.8808,0,0.30328,0.23912,0.18509,0.10234,0.33169,0.17598,0.11454,0.03189,1.71674,1.89228,2.01462,0.80067,0,0.0007327,0.0007327,0.0007327
29,22933.4,0.76165,1.05455,1.19497,0.87995,0,0.38007,0.23084,0.18743,0.10348,0.33107,0.17582,0.11333,0.03154,1.71512,1.88806,2.01324,0.80041,0,0.0007228,0.0007228,0.0007228
30,23729.1,0.76029,1.05403,1.19169,0.87992,0,0.39087,0.22797,0.18833,0.10377,0.34112,0.17414,0.11362,0.03186,1.71615,1.87496,2.01358,0.80031,0,0.0007129,0.0007129,0.0007129
31,24508.3,0.75898,1.05381,1.18848,0.87941,0,0.3967,0.2304,0.18777,0.10373,0.34739,0.177,0.11373,0.03133,1.71026,1.87692,2.01569,0.79988,0,0.000703,0.000703,0.000703
32,25293,0.75555,1.04662,1.18159,0.87894,0,0.38979,0.22647,0.18955,0.10419,0.33361,0.17163,0.11411,0.03167,1.71278,1.88089,2.01651,0.79988,0,0.0006931,0.0006931,0.0006931
33,26082.7,0.75496,1.04338,1.17852,0.87889,0,0.3889,0.22629,0.19049,0.10481,0.33069,0.17102,0.11335,0.03211,1.71175,1.87995,2.01626,0.79981,0,0.0006832,0.0006832,0.0006832
34,26873.5,0.75391,1.04209,1.17697,0.87829,0,0.38835,0.22701,0.19095,0.10493,0.32976,0.17104,0.11376,0.03256,1.70969,1.87719,2.01574,0.79961,0,0.0006733,0.0006733,0.0006733
35,27654.7,0.75467,1.04266,1.17048,0.87817,0,0.38981,0.22933,0.19123,0.10527,0.33741,0.17688,0.11349,0.03232,1.70951,1.87485,2.01582,0.79971,0,0.0006634,0.0006634,0.0006634
36,28436.5,0.7533,1.04005,1.16863,0.87775,0,0.39733,0.2306,0.19238,0.10566,0.34558,0.17674,0.11361,0.03198,1.71085,1.87589,2.01706,0.79973,0,0.0006535,0.0006535,0.0006535
37,29224.8,0.75067,1.03367,1.16332,0.87755,0,0.4006,0.23031,0.19202,0.10518,0.34425,0.1729,0.11484,0.0325,1.71047,1.87333,2.01707,0.7996,0,0.0006436,0.0006436,0.0006436
38,30004.4,0.7501,1.03324,1.15917,0.877,0,0.40191,0.23238,0.19223,0.10514,0.34491,0.1723,0.1149,0.0324,1.71431,1.87187,2.01942,0.79988,0,0.0006337,0.0006337,0.0006337
39,30791.6,0.74915,1.03109,1.15607,0.877,0,0.41135,0.22718,0.19209,0.10481,0.35421,0.17077,0.11412,0.0324,1.71488,1.87123,2.02117,0.79999,0,0.0006238,0.0006238,0.0006238
40,31575.9,0.74644,1.02809,1.1521,0.87654,0,0.39639,0.231,0.19089,0.10437,0.34321,0.17066,0.11372,0.03211,1.71707,1.86267,2.02571,0.80004,0,0.0006139,0.0006139,0.0006139
41,32370.1,0.74756,1.03077,1.15125,0.8762,0,0.40195,0.22634,0.19059,0.10407,0.34949,0.1707,0.11426,0.03213,1.72169,1.8653,2.02954,0.80028,0,0.000604,0.000604,0.000604
